team,count
BOS,65
LAL,63
SAS,51
DET,48
PHO,44
PHI,43
UTA,42
HOU,41
CHI,39
ATL,37
CLE,36
DAL,35
MIA,35
SEA,35
GSW,34
MIL,32
NYK,30
DEN,29
POR,29
IND,26
TOR,23
ORL,22
LAC,21
MIN,20
NJN,19
OKC,19
SAC,18
WAS,15
MEM,9
WSB,9
CHH,8
NOH,8
NOP,7
BRK,5
CHO,4
CHA,1
KCK,1
